Belt	Quadrat	Layer	Year	Date	Scientific_name	Japanese_name	Cover
27	1	shrub	1967	1967-09	Rubus idaeus subsp. melanolasius	エゾイチゴ	+
27	1	shrub	1967	1967-09	Sasa senanensis	クマイザサ	5
27	1	shrub	1968	1968-08	Rubus idaeus subsp. melanolasius	エゾイチゴ	+
27	1	shrub	1968	1968-08	Sasa senanensis	クマイザサ	5
27	1	shrub	1972	1972-08	Rubus idaeus subsp. melanolasius	エゾイチゴ	+
27	1	shrub	1972	1972-08	Sasa senanensis	クマイザサ	5
27	1	shrub	1976	1976-08	Rubus idaeus subsp. melanolasius	エゾイチゴ	+
27	1	shrub	1976	1976-08	Ribes latifolium	エゾスグリ	+
27	1	shrub	1976	1976-08	Sasa senanensis	クマイザサ	5
27	1	shrub	1980	1980-09	Rubus idaeus subsp. melanolasius	エゾイチゴ	1
27	1	shrub	1980	1980-09	Ribes latifolium	エゾスグリ	+
27	1	shrub	1980	1980-09	Sasa senanensis	クマイザサ	5
27	1	shrub	1984	1984-09	Rubus idaeus subsp. melanolasius	エゾイチゴ	+
27	1	shrub	1984	1984-09	Sasa senanensis	クマイザサ	5
27	1	shrub	1988	1988-09-13	Rubus idaeus subsp. melanolasius	エゾイチゴ	+
27	1	shrub	1988	1988-09-13	Sasa senanensis	クマイザサ	5
27	1	shrub	1998	1998-07-23	Rubus idaeus subsp. melanolasius	エゾイチゴ	+
27	1	shrub	1998	1998-07-23	Sasa senanensis	クマイザサ	5
27	1	shrub	1998	1998-07-23	Sorbaria sorbifolia var. stellipila	ホザキナナカマド	+
27	1	shrub	2002	2002-07-30	Sasa senanensis	クマイザサ	5
27	1	shrub	2002	2002-07-30	Sorbaria sorbifolia var. stellipila	ホザキナナカマド	1
27	1	shrub	2009	2009-07-30	Sasa senanensis	クマイザサ	5
27	1	shrub	2009	2009-07-30	Sorbaria sorbifolia var. stellipila	ホザキナナカマド	1
27	1	shrub	2017	2017-07-26	Sasa senanensis	クマイザサ	5
27	1	shrub	2017	2017-07-26	Sorbaria sorbifolia var. stellipila	ホザキナナカマド	+
27	1	herb	1957	1957-09	Cornus canadensis	ゴゼンタチバナ	+
27	1	herb	1957	1957-09	Carex sachalinensis var. iwakiana	ゴンゲンスゲ	2
27	1	herb	1957	1957-09	Tiarella polyphylla	ズダヤクシュ	+
27	1	herb	1957	1957-09	Cirsium kamtschaticum	チシマアザミ	1
27	1	herb	1958	1958-08	Calamagrostis purpurea subsp. langsdorfii	イワノガリヤス	1
27	1	herb	1958	1958-08	Cornus canadensis	ゴゼンタチバナ	+
27	1	herb	1958	1958-08	Tiarella polyphylla	ズダヤクシュ	+
27	1	herb	1958	1958-08	Cirsium kamtschaticum	チシマアザミ	2
27	1	herb	1958	1958-08	Maianthemum dilatatum	マイヅルソウ	+
27	1	herb	1959	1959-08	Calamagrostis purpurea subsp. langsdorfii	イワノガリヤス	2
27	1	herb	1959	1959-08	Cornus canadensis	ゴゼンタチバナ	+
27	1	herb	1959	1959-08	Carex sachalinensis var. iwakiana	ゴンゲンスゲ	3
27	1	herb	1959	1959-08	Tiarella polyphylla	ズダヤクシュ	+
27	1	herb	1959	1959-08	Cirsium kamtschaticum	チシマアザミ	1
27	1	herb	1959	1959-08	Maianthemum dilatatum	マイヅルソウ	+
27	1	herb	1960	1960-08	Calamagrostis purpurea subsp. langsdorfii	イワノガリヤス	2
27	1	herb	1960	1960-08	Cornus canadensis	ゴゼンタチバナ	+
27	1	herb	1960	1960-08	Carex sachalinensis var. iwakiana	ゴンゲンスゲ	3
27	1	herb	1960	1960-08	Tiarella polyphylla	ズダヤクシュ	+
27	1	herb	1960	1960-08	Cirsium kamtschaticum	チシマアザミ	1
27	1	herb	1960	1960-08	Maianthemum dilatatum	マイヅルソウ	+
27	1	herb	1961	1961-08	Calamagrostis purpurea subsp. langsdorfii	イワノガリヤス	2
27	1	herb	1961	1961-08	Cornus canadensis	ゴゼンタチバナ	+
27	1	herb	1961	1961-08	Carex sachalinensis var. iwakiana	ゴンゲンスゲ	3
27	1	herb	1961	1961-08	Cirsium kamtschaticum	チシマアザミ	2
27	1	herb	1962	1962-09	Calamagrostis purpurea subsp. langsdorfii	イワノガリヤス	3
27	1	herb	1962	1962-09	Cornus canadensis	ゴゼンタチバナ	+
27	1	herb	1962	1962-09	Carex sachalinensis var. iwakiana	ゴンゲンスゲ	1
27	1	herb	1963	1963-08	Calamagrostis purpurea subsp. langsdorfii	イワノガリヤス	4
27	1	herb	1963	1963-08	Impatiens noli-tangere	キツリフネ	+
27	1	herb	1963	1963-08	Cornus canadensis	ゴゼンタチバナ	+
27	1	herb	1963	1963-08	Carex sachalinensis var. iwakiana	ゴンゲンスゲ	2
27	1	herb	1964	1964-08	Solidago virgaurea subsp. asiatica	アキノキリンソウ	+
27	1	herb	1964	1964-08	Calamagrostis purpurea subsp. langsdorfii	イワノガリヤス	5
27	1	herb	1964	1964-08	Cornus canadensis	ゴゼンタチバナ	+
27	1	herb	1965	1965-08	Calamagrostis purpurea subsp. langsdorfii	イワノガリヤス	5
27	1	herb	1965	1965-08	Cornus canadensis	ゴゼンタチバナ	+
27	1	herb	1965	1965-08	Carex sachalinensis var. iwakiana	ゴンゲンスゲ	+
27	1	herb	1965	1965-08	Maianthemum dilatatum	マイヅルソウ	+
27	1	herb	1966	1966-08	Calamagrostis purpurea subsp. langsdorfii	イワノガリヤス	5
27	1	herb	1966	1966-08	Cornus canadensis	ゴゼンタチバナ	+
27	1	herb	1966	1966-08	Carex sachalinensis var. iwakiana	ゴンゲンスゲ	+
27	1	herb	1966	1966-08	Maianthemum dilatatum	マイヅルソウ	+
27	1	herb	1967	1967-09	Calamagrostis purpurea subsp. langsdorfii	イワノガリヤス	2
27	1	herb	1967	1967-09	Cornus canadensis	ゴゼンタチバナ	+
27	1	herb	1967	1967-09	Carex sachalinensis var. iwakiana	ゴンゲンスゲ	+
27	1	herb	1968	1968-08	Calamagrostis purpurea subsp. langsdorfii	イワノガリヤス	4
27	1	herb	1968	1968-08	Cornus canadensis	ゴゼンタチバナ	+
27	1	herb	1968	1968-08	Carex sachalinensis var. iwakiana	ゴンゲンスゲ	1
27	1	herb	1968	1968-08	Maianthemum dilatatum	マイヅルソウ	+
27	1	herb	1972	1972-08	Solidago virgaurea subsp. asiatica	アキノキリンソウ	+
27	1	herb	1972	1972-08	Calamagrostis purpurea subsp. langsdorfii	イワノガリヤス	3
27	1	herb	1972	1972-08	Cornus canadensis	ゴゼンタチバナ	+
27	1	herb	1972	1972-08	Carex sachalinensis var. iwakiana	ゴンゲンスゲ	+
27	1	herb	1972	1972-08	Maianthemum dilatatum	マイヅルソウ	+
27	1	herb	1976	1976-08	Calamagrostis purpurea subsp. langsdorfii	イワノガリヤス	3
27	1	herb	1976	1976-08	Cornus canadensis	ゴゼンタチバナ	+
27	1	herb	1976	1976-08	Carex sachalinensis var. iwakiana	ゴンゲンスゲ	+
27	1	herb	1976	1976-08	Maianthemum dilatatum	マイヅルソウ	+
27	1	herb	1980	1980-09	Calamagrostis purpurea subsp. langsdorfii	イワノガリヤス	3
27	1	herb	1980	1980-09	Cornus canadensis	ゴゼンタチバナ	+
27	1	herb	1980	1980-09	Carex sachalinensis var. iwakiana	ゴンゲンスゲ	+
27	1	herb	1984	1984-09	Calamagrostis purpurea subsp. langsdorfii	イワノガリヤス	3
27	1	herb	1984	1984-09	Cornus canadensis	ゴゼンタチバナ	+
27	1	herb	1984	1984-09	Maianthemum dilatatum	マイヅルソウ	+
27	1	herb	1988	1988-09-13	Calamagrostis purpurea subsp. langsdorfii	イワノガリヤス	1
27	1	herb	1988	1988-09-13	Cornus canadensis	ゴゼンタチバナ	1
27	1	herb	1988	1988-09-13	Maianthemum dilatatum	マイヅルソウ	+
27	1	herb	1998	1998-07-23	Calamagrostis purpurea subsp. langsdorfii	イワノガリヤス	+
27	1	herb	2002	2002-07-30	Calamagrostis purpurea subsp. langsdorfii	イワノガリヤス	+
27	1	herb	2002	2002-07-30	Cirsium kamtschaticum	チシマアザミ	+
27	1	herb	2002	2002-07-30	Dryopteris expansa	シラネワラビ	+
27	1	herb	2009	2009-07-30	Calamagrostis purpurea subsp. langsdorfii	イワノガリヤス	+
27	1	herb	2009	2009-07-30	Cirsium kamtschaticum	チシマアザミ	+
27	1	herb	2017	2017-07-26	Calamagrostis purpurea subsp. langsdorfii	イワノガリヤス	+
27	1	moss	2002	2002-07-30	Moss	コケ類	1
27	1	moss	2009	2009-07-30	Moss	コケ類	1
27	1	moss	2017	2017-07-26	Moss	コケ類	2
27	2	canopy	1984	1984-09	Betula platyphylla var. japonica	シラカンバ	3
27	2	canopy	1984	1984-09	Abies sachalinensis	トドマツ	3
27	2	canopy	1988	1988-09-13	Betula platyphylla var. japonica	シラカンバ	4
27	2	canopy	1988	1988-09-13	Abies sachalinensis	トドマツ	3
27	2	canopy	1998	1998-07-23	Betula platyphylla var. japonica	シラカンバ	1
27	2	canopy	1998	1998-07-23	Abies sachalinensis	トドマツ	5
27	2	canopy	2002	2002-07-30	Abies sachalinensis	トドマツ	5
27	2	canopy	2002	2002-07-30	Betula platyphylla var. japonica	シラカンバ	3
27	2	canopy	2009	2009-07-30	Abies sachalinensis	トドマツ	5
27	2	canopy	2009	2009-07-30	Betula platyphylla var. japonica	シラカンバ	3
27	2	canopy	2017	2017-07-26	Abies sachalinensis	トドマツ	5
27	2	canopy	2017	2017-07-26	Betula platyphylla var. japonica	シラカンバ	3
27	2	subcanopy	1972	1972-08	Abies sachalinensis	トドマツ	2
27	2	subcanopy	1976	1976-08	Abies sachalinensis	トドマツ	2
27	2	subcanopy	1980	1980-09	Abies sachalinensis	トドマツ	3
27	2	shrub	1957	1957-09	Rubus idaeus subsp. melanolasius	エゾイチゴ	3
27	2	shrub	1957	1957-09	Sasa senanensis	クマイザサ	3
27	2	shrub	1958	1958-08	Rubus idaeus subsp. melanolasius	エゾイチゴ	3
27	2	shrub	1958	1958-08	Sasa senanensis	クマイザサ	5
27	2	shrub	1959	1959-08	Rubus idaeus subsp. melanolasius	エゾイチゴ	2
27	2	shrub	1959	1959-08	Sasa senanensis	クマイザサ	5
27	2	shrub	1960	1960-08	Rubus idaeus subsp. melanolasius	エゾイチゴ	2
27	2	shrub	1960	1960-08	Sasa senanensis	クマイザサ	5
27	2	shrub	1960	1960-08	Rhododendron pentandrum	コヨウラクツツジ	+
27	2	shrub	1961	1961-08	Rubus idaeus subsp. melanolasius	エゾイチゴ	2
27	2	shrub	1961	1961-08	Sasa senanensis	クマイザサ	5
27	2	shrub	1961	1961-08	Rhododendron pentandrum	コヨウラクツツジ	+
27	2	shrub	1961	1961-08	Abies sachalinensis	トドマツ	1
27	2	shrub	1962	1962-09	Rubus idaeus subsp. melanolasius	エゾイチゴ	2
27	2	shrub	1962	1962-09	Sasa senanensis	クマイザサ	5
27	2	shrub	1962	1962-09	Rhododendron pentandrum	コヨウラクツツジ	+
27	2	shrub	1962	1962-09	Abies sachalinensis	トドマツ	2
27	2	shrub	1963	1963-08	Rubus idaeus subsp. melanolasius	エゾイチゴ	1
27	2	shrub	1963	1963-08	Sasa senanensis	クマイザサ	5
27	2	shrub	1963	1963-08	Rhododendron pentandrum	コヨウラクツツジ	1
27	2	shrub	1963	1963-08	Abies sachalinensis	トドマツ	1
27	2	shrub	1964	1964-08	Rubus idaeus subsp. melanolasius	エゾイチゴ	2
27	2	shrub	1964	1964-08	Sasa senanensis	クマイザサ	5
27	2	shrub	1964	1964-08	Abies sachalinensis	トドマツ	2
27	2	shrub	1965	1965-08	Rubus idaeus subsp. melanolasius	エゾイチゴ	3
27	2	shrub	1965	1965-08	Sasa senanensis	クマイザサ	5
27	2	shrub	1965	1965-08	Abies sachalinensis	トドマツ	2
27	2	shrub	1966	1966-08	Rubus idaeus subsp. melanolasius	エゾイチゴ	3
27	2	shrub	1966	1966-08	Sasa senanensis	クマイザサ	5
27	2	shrub	1966	1966-08	Abies sachalinensis	トドマツ	2
27	2	shrub	1967	1967-09	Rubus idaeus subsp. melanolasius	エゾイチゴ	2
27	2	shrub	1967	1967-09	Sasa senanensis	クマイザサ	5
27	2	shrub	1967	1967-09	Abies sachalinensis	トドマツ	2
27	2	shrub	1968	1968-08	Rubus idaeus subsp. melanolasius	エゾイチゴ	1
27	2	shrub	1968	1968-08	Sasa senanensis	クマイザサ	5
27	2	shrub	1968	1968-08	Abies sachalinensis	トドマツ	1
27	2	shrub	1972	1972-08	Rubus idaeus subsp. melanolasius	エゾイチゴ	1
27	2	shrub	1972	1972-08	Sasa senanensis	クマイザサ	5
27	2	shrub	1976	1976-08	Rubus idaeus subsp. melanolasius	エゾイチゴ	1
27	2	shrub	1976	1976-08	Sasa senanensis	クマイザサ	5
27	2	shrub	1980	1980-09	Rubus idaeus subsp. melanolasius	エゾイチゴ	+
27	2	shrub	1980	1980-09	Sasa senanensis	クマイザサ	5
27	2	shrub	1984	1984-09	Rubus idaeus subsp. melanolasius	エゾイチゴ	+
27	2	shrub	1984	1984-09	Sasa senanensis	クマイザサ	4
27	2	shrub	1988	1988-09-13	Rubus idaeus subsp. melanolasius	エゾイチゴ	+
27	2	shrub	1988	1988-09-13	Sasa senanensis	クマイザサ	5
27	2	shrub	1998	1998-07-23	Sasa senanensis	クマイザサ	2
27	2	shrub	1998	1998-07-23	Sorbaria sorbifolia var. stellipila	ホザキナナカマド	+
27	2	shrub	2002	2002-07-30	Sasa senanensis	クマイザサ	2
27	2	shrub	2002	2002-07-30	Sorbaria sorbifolia var. stellipila	ホザキナナカマド	+
27	2	shrub	2009	2009-07-30	Sasa senanensis	クマイザサ	2
27	2	shrub	2009	2009-07-30	Rubus idaeus subsp. melanolasius	エゾイチゴ	+
27	2	shrub	2009	2009-07-30	Lonicera chamissoi	チシマヒョウタンボク	+
27	2	shrub	2009	2009-07-30	Sorbaria sorbifolia var. stellipila	ホザキナナカマド	+
27	2	shrub	2017	2017-07-26	Sasa senanensis	クマイザサ	2
27	2	shrub	2017	2017-07-26	Lonicera chamissoi	チシマヒョウタンボク	+
27	2	shrub	2017	2017-07-26	Sorbaria sorbifolia var. stellipila	ホザキナナカマド	+
27	2	herb	1957	1957-09	Solidago virgaurea subsp. asiatica	アキノキリンソウ	1
27	2	herb	1957	1957-09	Carex sachalinensis var. iwakiana	ゴンゲンスゲ	3
27	2	herb	1957	1957-09	Lycopodium annotinum	スギカズラ	+
27	2	herb	1957	1957-09	Cirsium kamtschaticum	チシマアザミ	+
27	2	herb	1958	1958-08	Carex sachalinensis var. iwakiana	ゴンゲンスゲ	2
27	2	herb	1958	1958-08	Lycopodium annotinum	スギカズラ	+
27	2	herb	1958	1958-08	Cirsium kamtschaticum	チシマアザミ	+
27	2	herb	1959	1959-08	Cornus canadensis	ゴゼンタチバナ	+
27	2	herb	1959	1959-08	Carex sachalinensis var. iwakiana	ゴンゲンスゲ	3
27	2	herb	1959	1959-08	Lycopodium annotinum	スギカズラ	+
27	2	herb	1960	1960-08	Solidago virgaurea subsp. asiatica	アキノキリンソウ	+
27	2	herb	1960	1960-08	Cornus canadensis	ゴゼンタチバナ	+
27	2	herb	1960	1960-08	Carex sachalinensis var. iwakiana	ゴンゲンスゲ	1
27	2	herb	1960	1960-08	Lycopodium annotinum	スギカズラ	+
27	2	herb	1960	1960-08	Cirsium kamtschaticum	チシマアザミ	+
27	2	herb	1960	1960-08	Maianthemum dilatatum	マイヅルソウ	+
27	2	herb	1961	1961-08	Cornus canadensis	ゴゼンタチバナ	+
27	2	herb	1961	1961-08	Carex sachalinensis var. iwakiana	ゴンゲンスゲ	2
27	2	herb	1961	1961-08	Cirsium kamtschaticum	チシマアザミ	+
27	2	herb	1961	1961-08	Maianthemum dilatatum	マイヅルソウ	+
27	2	herb	1962	1962-09	Cornus canadensis	ゴゼンタチバナ	+
27	2	herb	1962	1962-09	Carex sachalinensis var. iwakiana	ゴンゲンスゲ	3
27	2	herb	1962	1962-09	Lycopodium annotinum	スギカズラ	+
27	2	herb	1963	1963-08	Cornus canadensis	ゴゼンタチバナ	+
27	2	herb	1963	1963-08	Carex sachalinensis var. iwakiana	ゴンゲンスゲ	3
27	2	herb	1963	1963-08	Maianthemum dilatatum	マイヅルソウ	+
27	2	herb	1964	1964-08	Solidago virgaurea subsp. asiatica	アキノキリンソウ	+
27	2	herb	1964	1964-08	Calamagrostis purpurea subsp. langsdorfii	イワノガリヤス	+
27	2	herb	1964	1964-08	Cornus canadensis	ゴゼンタチバナ	+
27	2	herb	1964	1964-08	Carex sachalinensis var. iwakiana	ゴンゲンスゲ	1
27	2	herb	1964	1964-08	Maianthemum dilatatum	マイヅルソウ	+
27	2	herb	1965	1965-08	Solidago virgaurea subsp. asiatica	アキノキリンソウ	+
27	2	herb	1965	1965-08	Calamagrostis purpurea subsp. langsdorfii	イワノガリヤス	2
27	2	herb	1965	1965-08	Cornus canadensis	ゴゼンタチバナ	+
27	2	herb	1966	1966-08	Solidago virgaurea subsp. asiatica	アキノキリンソウ	1
27	2	herb	1966	1966-08	Calamagrostis purpurea subsp. langsdorfii	イワノガリヤス	1
27	2	herb	1966	1966-08	Cornus canadensis	ゴゼンタチバナ	+
27	2	herb	1966	1966-08	Carex sachalinensis var. iwakiana	ゴンゲンスゲ	+
27	2	herb	1966	1966-08	Maianthemum dilatatum	マイヅルソウ	+
27	2	herb	1967	1967-09	Calamagrostis purpurea subsp. langsdorfii	イワノガリヤス	2
27	2	herb	1967	1967-09	Cornus canadensis	ゴゼンタチバナ	+
27	2	herb	1967	1967-09	Carex sachalinensis var. iwakiana	ゴンゲンスゲ	+
27	2	herb	1968	1968-08	Solidago virgaurea subsp. asiatica	アキノキリンソウ	+
27	2	herb	1968	1968-08	Calamagrostis purpurea subsp. langsdorfii	イワノガリヤス	4
27	2	herb	1968	1968-08	Cornus canadensis	ゴゼンタチバナ	+
27	2	herb	1968	1968-08	Carex sachalinensis var. iwakiana	ゴンゲンスゲ	+
27	2	herb	1972	1972-08	Solidago virgaurea subsp. asiatica	アキノキリンソウ	+
27	2	herb	1972	1972-08	Calamagrostis purpurea subsp. langsdorfii	イワノガリヤス	4
27	2	herb	1972	1972-08	Cornus canadensis	ゴゼンタチバナ	+
27	2	herb	1972	1972-08	Carex sachalinensis var. iwakiana	ゴンゲンスゲ	+
27	2	herb	1972	1972-08	Maianthemum dilatatum	マイヅルソウ	+
27	2	herb	1976	1976-08	Solidago virgaurea subsp. asiatica	アキノキリンソウ	+
27	2	herb	1976	1976-08	Calamagrostis purpurea subsp. langsdorfii	イワノガリヤス	3
27	2	herb	1976	1976-08	Carex sachalinensis var. iwakiana	ゴンゲンスゲ	+
27	2	herb	1976	1976-08	Lycopodium annotinum	スギカズラ	+
27	2	herb	1976	1976-08	Maianthemum dilatatum	マイヅルソウ	+
27	2	herb	1980	1980-09	Solidago virgaurea subsp. asiatica	アキノキリンソウ	+
27	2	herb	1980	1980-09	Calamagrostis purpurea subsp. langsdorfii	イワノガリヤス	1
27	2	herb	1980	1980-09	Lycopodium annotinum	スギカズラ	+
27	2	herb	1984	1984-09	Solidago virgaurea subsp. asiatica	アキノキリンソウ	+
27	2	herb	1984	1984-09	Calamagrostis purpurea subsp. langsdorfii	イワノガリヤス	+
27	2	herb	1984	1984-09	Lycopodium annotinum	スギカズラ	+
27	2	herb	1984	1984-09	Maianthemum dilatatum	マイヅルソウ	+
27	2	herb	1988	1988-09-13	Solidago virgaurea subsp. asiatica	アキノキリンソウ	+
27	2	herb	1988	1988-09-13	Calamagrostis purpurea subsp. langsdorfii	イワノガリヤス	+
27	2	herb	1988	1988-09-13	Maianthemum dilatatum	マイヅルソウ	+
27	2	moss	2002	2002-07-30	Moss	コケ類	3
27	2	moss	2009	2009-07-30	Moss	コケ類	1
27	2	moss	2017	2017-07-26	Moss	コケ類	2
27	3	canopy	1984	1984-09	Betula platyphylla var. japonica	シラカンバ	3
27	3	canopy	1984	1984-09	Abies sachalinensis	トドマツ	3
27	3	canopy	1988	1988-09-13	Betula platyphylla var. japonica	シラカンバ	4
27	3	canopy	1988	1988-09-13	Abies sachalinensis	トドマツ	4
27	3	canopy	1998	1998-07-23	Betula platyphylla var. japonica	シラカンバ	4
27	3	canopy	1998	1998-07-23	Abies sachalinensis	トドマツ	5
27	3	canopy	2002	2002-07-30	Abies sachalinensis	トドマツ	5
27	3	canopy	2002	2002-07-30	Betula platyphylla var. japonica	シラカンバ	5
27	3	canopy	2009	2009-07-30	Abies sachalinensis	トドマツ	5
27	3	canopy	2009	2009-07-30	Betula platyphylla var. japonica	シラカンバ	5
27	3	canopy	2017	2017-07-26	Abies sachalinensis	トドマツ	5
27	3	canopy	2017	2017-07-26	Betula platyphylla var. japonica	シラカンバ	5
27	3	subcanopy	1980	1980-09	Abies sachalinensis	トドマツ	3
27	3	shrub	1957	1957-09	Rubus idaeus subsp. melanolasius	エゾイチゴ	3
27	3	shrub	1957	1957-09	Sasa senanensis	クマイザサ	1
27	3	shrub	1958	1958-08	Rubus idaeus subsp. melanolasius	エゾイチゴ	3
27	3	shrub	1958	1958-08	Sasa senanensis	クマイザサ	1
27	3	shrub	1959	1959-08	Rubus idaeus subsp. melanolasius	エゾイチゴ	3
27	3	shrub	1959	1959-08	Sasa senanensis	クマイザサ	1
27	3	shrub	1960	1960-08	Rubus idaeus subsp. melanolasius	エゾイチゴ	2
27	3	shrub	1960	1960-08	Sasa senanensis	クマイザサ	2
27	3	shrub	1961	1961-08	Rubus idaeus subsp. melanolasius	エゾイチゴ	3
27	3	shrub	1961	1961-08	Sasa senanensis	クマイザサ	2
27	3	shrub	1962	1962-09	Rubus idaeus subsp. melanolasius	エゾイチゴ	2
27	3	shrub	1962	1962-09	Sasa senanensis	クマイザサ	+
27	3	shrub	1963	1963-08	Rubus idaeus subsp. melanolasius	エゾイチゴ	2
27	3	shrub	1963	1963-08	Sasa senanensis	クマイザサ	1
27	3	shrub	1964	1964-08	Rubus idaeus subsp. melanolasius	エゾイチゴ	2
27	3	shrub	1964	1964-08	Sasa senanensis	クマイザサ	2
27	3	shrub	1965	1965-08	Rubus idaeus subsp. melanolasius	エゾイチゴ	2
27	3	shrub	1965	1965-08	Sasa senanensis	クマイザサ	1
27	3	shrub	1966	1966-08	Rubus idaeus subsp. melanolasius	エゾイチゴ	2
27	3	shrub	1966	1966-08	Sasa senanensis	クマイザサ	3
27	3	shrub	1967	1967-09	Rubus idaeus subsp. melanolasius	エゾイチゴ	1
27	3	shrub	1967	1967-09	Sasa senanensis	クマイザサ	3
27	3	shrub	1968	1968-08	Rubus idaeus subsp. melanolasius	エゾイチゴ	+
27	3	shrub	1968	1968-08	Sasa senanensis	クマイザサ	3
27	3	shrub	1968	1968-08	Abies sachalinensis	トドマツ	+
27	3	shrub	1972	1972-08	Rubus idaeus subsp. melanolasius	エゾイチゴ	2
27	3	shrub	1972	1972-08	Sasa senanensis	クマイザサ	3
27	3	shrub	1972	1972-08	Abies sachalinensis	トドマツ	2
27	3	shrub	1976	1976-08	Rubus idaeus subsp. melanolasius	エゾイチゴ	1
27	3	shrub	1976	1976-08	Sasa senanensis	クマイザサ	5
27	3	shrub	1980	1980-09	Rubus idaeus subsp. melanolasius	エゾイチゴ	2
27	3	shrub	1980	1980-09	Ribes latifolium	エゾスグリ	+
27	3	shrub	1980	1980-09	Sasa senanensis	クマイザサ	4
27	3	shrub	1984	1984-09	Rubus idaeus subsp. melanolasius	エゾイチゴ	1
27	3	shrub	1984	1984-09	Sasa senanensis	クマイザサ	2
27	3	shrub	1988	1988-09-13	Rubus idaeus subsp. melanolasius	エゾイチゴ	1
27	3	shrub	1988	1988-09-13	Sasa senanensis	クマイザサ	2
27	3	shrub	1998	1998-07-23	Rubus idaeus subsp. melanolasius	エゾイチゴ	+
27	3	shrub	1998	1998-07-23	Sasa senanensis	クマイザサ	1
27	3	shrub	2002	2002-07-30	Sasa senanensis	クマイザサ	+
27	3	shrub	2009	2009-07-30	Sasa senanensis	クマイザサ	2
27	3	shrub	2009	2009-07-30	Rubus idaeus subsp. melanolasius	エゾイチゴ	+
27	3	shrub	2009	2009-07-30	Abies sachalinensis	トドマツ	+
27	3	shrub	2009	2009-07-30	Sorbaria sorbifolia var. stellipila	ホザキナナカマド	+
27	3	shrub	2017	2017-07-26	Sasa senanensis	クマイザサ	2
27	3	shrub	2017	2017-07-26	Abies sachalinensis	トドマツ	+
27	3	herb	1957	1957-09	Calamagrostis purpurea subsp. langsdorfii	イワノガリヤス	3
27	3	herb	1957	1957-09	Cornus canadensis	ゴゼンタチバナ	+
27	3	herb	1957	1957-09	Carex sachalinensis var. iwakiana	ゴンゲンスゲ	1
