"","Loc_Name","Year","X","Loc_Year","before","after","avgdef","maxdef","mindef","tblJODA.2011.2019.SppCover_Loc_Name","Sample_Frame","Loc_Number","X_Coord.x","Y_Coord.x","Datum.x","UTM_Zone.x","Elevation","Aspect","Slope","SCOSA","Unit_Code","BareGrdCover","Achillea_millefolium","Achnatherum_spp","Acroptilon_repens","Agoseris_spp","Agropyron_cristatum","Allium_spp","Antennaria_spp","Arabis_spp","Artemisia_arbuscula","Artemisia_tridentata","Aster_spp","Astragalus_spp","Atriplex_spp","Balsamorhiza_spp","Brodiaea_douglasii","Bromus_spp","Bromus_tectorum","Calochortus_spp","Cardaria_draba","Castilleja_spp","Centaurea_diffusa","Centaurea_maculosa","Centaurea_solstitialis","Cercocarpus_ledifolius","Chrysothamnus_viscidiflorus","Cirsium_spp","Crepis_acuminata","Cryptantha_spp","Dalea_ornata","Delphinium_spp","Descurainia_sophia","Elymus_caput_medusae","Elymus_cinereus","Elymus_elymoides","Ericameria_nauseosa","Erigeron_spp","Eriogonum_spp","Erodium_cicutarium","Euphorbia_esula","Festuca_idahoensis","Gutierrezia_sarothrae","Helianthella_uniflora","Hesperostipa_comata","Juniperus_occidentalis","Kochia_scoparia","Lactuca_serriola","Lepidium_perfoliatum","Leptodactylon_pungens","Lewisia_rediviva","Leymus_cinereus","Linaria_dalmatica","Linaria_vulgaris","Lithophragma_spp","Lithospermum_ruderale","Lomatium_spp","Lupinus_spp","Onopordum_acanthium","Opuntia_polyacantha","Penstemon_spp","Phacelia_hastata","Phacelia_spp","Phlox_spp","Poa_bulbosa","Poa_pratensis","Poa_secunda","Poa_spp","Pseudoroegneria_spicata","Purshia_tridentata","Salsola_kali","Salvia_dorrii","Sarcobatus_vermiculatus","Sedum_spp","Sisymbrium_altissimum","Sphaeralcea_munroana","Sporobolus_cryptandrus","Taeniatherum_caput_medusae","Tetradymia_canescens","Tragopogon_dubius","Ventenata_dubia","Verbascum_blattaria","Verbascum_thapsus","Unit","Site","year","ID","Year.num","Year.centered","Elevation.scaled","avg.cat","min.cat","max.cat","elev.cat","scosa.cat","Plot_ID","SampleFram","Plot","X_Coord.y","Y_Coord.y","Datum.y","UTM_Zone.y","ecoclassid","Fire_1994","Fire_1995","Fire_2011","dNBR2011","1994_Hancock_dNBR","1994_Mammal_dNBR","1995_CampHancock_dNBR","avgdef.centered","dNBR2011.scaled","dNBR1994","dNBR1995","PastBurn","BurnCount","nbr94.cat","BurnSeverity1994","nbr95.cat","BurnSeverity1995","nbr.cat","BurnSeverity2011","BurnAll","sev.cat","BurnSeverity"
"11","JODA_Clarno_2011_108",2011,11,2011,2010,2011,20.041705193,45.37631989,5.376136303,"JODA_Clarno_2011_108","JODA_Clarno",108,704467.739747289,4976833.08964354,"NAD83","10N",481,172,6,-0.103511199448583,"JODA",0,1,2,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",NA,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"JODA","Clarno",2011,108,1,0,-1.207901570568,"(20,21]","(5,5.5]","(44,47]","[416,500]","(-0.2,-0.1]","JODA_Clarno_2011_108","JODA_Clarno",108,704467.739747,4976833.08964,"NAD83","10N","R010XB053OR","1994",NA,"2011",2327,1537,NA,NA,-0.0707138867189859,0.757024037641594,1537,NA,"1994_2011","2","(1.47e+03,3.05e+03]","High94",NA,"No Burn95","(2.1e+03,5.59e+03]","High11","2.High94.No Burn95.High11","(1.19e+03,2.48e+03]","Medium"
"12","JODA_Clarno_2011_109",2011,12,2011,2010,2011,20.2563268545,46.79436493,5.039719105,"JODA_Clarno_2011_109","JODA_Clarno",109,702063.006126172,4976503.48331842,"NAD83","10N",436,178,23,-0.390493105643,"JODA",0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,"5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",NA,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,"0",0,0,0,0,0,1,0,0,0,0,0,0,0,0,"JODA","Clarno",2011,109,1,0,-1.92692481250053,"(20,21]","(5,5.5]","(44,47]","[416,500]","[-0.5,-0.2]","JODA_Clarno_2011_109","JODA_Clarno",109,702063.006126,4976503.48332,"NAD83","10N","R010XB053OR",NA,"1995","2011",4122,NA,NA,2957,0.0290154169978804,3.52415814077728,NA,2957,"1995_2011","2",NA,"No Burn94","(2.1e+03,4.94e+03]","High95","(2.1e+03,5.59e+03]","High11","2.No Burn94.High95.High11","(2.48e+03,5.59e+03]","High"
"13","JODA_Clarno_2011_11",2011,13,2011,2010,2011,19.521842063,43.95918274,5.058641911,"JODA_Clarno_2011_11","JODA_Clarno",11,704058.468173246,4977540.79790971,"NAD83","10N",566,278,20,0.0476000039374394,"JODA",2,0,0,0,0,0,0,0,0,0,"0",0,2,0,0,0,0,"1",0,0,1,0,0,0,0,0,0,0,0,0,0,0,"0",NA,0,0,0,1,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2",0,"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"JODA","Clarno",2011,11,1,0,0.150253441971224,"(19,20]","(5,5.5]","[38,44]","(565,590]","(-0.05,0.05]","JODA_Clarno_2011_11","JODA_Clarno",11,704058.468173,4977540.79791,"NAD83","10N","R010XB064OR","1994",NA,"2011",874,518,NA,NA,-0.312281245859807,-1.48289008595514,518,NA,"1994_2011","2","[-233,970]","Low94",NA,"No Burn95","[-570,1.5e+03]","Low11","2.Low94.No Burn95.Low11","[-570,1.19e+03]","Low"
"14","JODA_Clarno_2011_110",2011,14,2011,2010,2011,18.614365696625,41.46271133,5.036946774,"JODA_Clarno_2011_110","JODA_Clarno",110,704741.161421047,4978224.91636265,"NAD83","10N",550,154,9,-0.140602365814155,"JODA",0,0,2,0,0,0,0,0,0,0,"0",0,1,0,0,0,0,"4",1,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",NA,0,0,0,0,0,0,0,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"JODA","Clarno",2011,110,1,0,-0.105399266271453,"(18,19]","(5,5.5]","[38,44]","(545,565]","(-0.2,-0.1]","JODA_Clarno_2011_110","JODA_Clarno",110,704741.161421,4978224.91636,"NAD83","10N","R010XB053OR","1994",NA,"2011",2335,260,NA,NA,-0.733962755198464,0.76935666874192,260,NA,"1994_2011","2","[-233,970]","Low94",NA,"No Burn95","(2.1e+03,5.59e+03]","High11","2.Low94.No Burn95.High11","(1.19e+03,2.48e+03]","Medium"
"15","JODA_Clarno_2011_111",2011,15,2011,2010,2011,20.255675731875,45.55043411,5.465832233,"JODA_Clarno_2011_111","JODA_Clarno",111,703287.848068443,4976835.42583218,"NAD83","10N",455,294,6,0.0425155562553574,"JODA",1,0,2,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,"4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",NA,0,0,0,0,0,0,0,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"1",0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"JODA","Clarno",2011,111,1,0,-1.62333722146235,"(20,21]","(5,5.5]","(44,47]","[416,500]","(-0.05,0.05]","JODA_Clarno_2011_111","JODA_Clarno",111,703287.848068,4976835.42583,"NAD83","10N","R010XB053OR","1994",NA,"2011",2260,1468,NA,NA,0.028712856643201,0.653738252176362,1468,NA,"1994_2011","2","(970,1.47e+03]","Medium94",NA,"No Burn95","(2.1e+03,5.59e+03]","High11","2.Medium94.No Burn95.High11","(1.19e+03,2.48e+03]","Medium"
"16","JODA_Clarno_2011_112",2011,16,2011,2010,2011,20.041705193,45.37631989,5.376136303,"JODA_Clarno_2011_112","JODA_Clarno",112,703775.242490727,4976732.99350133,"NAD83","10N",555,239,17,-0.150582559958569,"JODA",0,0,2,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1",NA,0,0,0,0,1,0,0,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"0",0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"JODA","Clarno",2011,112,1,0,-0.0255077949456165,"(20,21]","(5,5.5]","(44,47]","(545,565]","(-0.2,-0.1]","JODA_Clarno_2011_112","JODA_Clarno",112,703775.242491,4976732.9935,"NAD83","10N","R010XB022OR","1994",NA,"2011",2179,1671,NA,NA,-0.0707138867189859,0.52887036228556,1671,NA,"1994_2011","2","(1.47e+03,3.05e+03]","High94",NA,"No Burn95","(2.1e+03,5.59e+03]","High11","2.High94.No Burn95.High11","(1.19e+03,2.48e+03]","Medium"
"17","JODA_Clarno_2011_113",2011,17,2011,2010,2011,18.8192238215,43.43727112,4.526374817,"JODA_Clarno_2011_113","JODA_Clarno",113,704300.675969487,4979034.11235227,"NAD83","10N",616,184,6,-0.104273837184716,"JODA",0,0,0,0,1,0,0,0,0,0,"0",0,0,0,0,0,0,"1",0,0,0,0,0,0,0,0,2,0,0,0,0,0,"0",NA,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"JODA","Clarno",2011,113,1,0,0.949168155229592,"(18,19]","(4.5,5]","[38,44]","(590,630]","(-0.2,-0.1]","JODA_Clarno_2011_113","JODA_Clarno",113,704300.675969,4979034.11235,"NAD83","10N","R010XB053OR","1994",NA,"2011",1085,295,NA,NA,-0.638770322096708,-1.15761694068404,295,NA,"1994_2011","2","[-233,970]","Low94",NA,"No Burn95","[-570,1.5e+03]","Low11","2.Low94.No Burn95.Low11","[-570,1.19e+03]","Low"
"18","JODA_Clarno_2011_114",2011,18,2011,2010,2011,17.105976880375,38.22467804,4.195711613,"JODA_Clarno_2011_114","JODA_Clarno",114,704891.866228894,4979543.51601274,"NAD83","10N",723,338,2,0.0323582498750657,"JODA",0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4",NA,0,0,0,0,1,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"JODA","Clarno",2011,114,1,0,2.6588456416025,"[14,18]","(3,4.5]","[38,44]","(630,731]","(-0.05,0.05]","JODA_Clarno_2011_114","JODA_Clarno",114,704891.866229,4979543.51601,"NAD83","10N","R010XB022OR","1994",NA,NA,NA,1105,NA,NA,-1.43487321003119,NA,1105,NA,"1994","1","(970,1.47e+03]","Medium94",NA,"No Burn95",NA,"No Burn11","1.Medium94.No Burn95.No Burn11",NA,"No Burn"
"19","JODA_Clarno_2011_115",2011,19,2011,2010,2011,20.255675731875,45.55043411,5.465832233,"JODA_Clarno_2011_115","JODA_Clarno",115,703353.548451868,4976507.54490742,"NAD83","10N",514,309,11,0.120079991586194,"JODA",3,1,1,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",NA,0,0,0,1,0,0,0,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"JODA","Clarno",2011,115,1,0,-0.680617859817478,"(20,21]","(5,5.5]","(44,47]","(500,545]","(0.05,0.15]","JODA_Clarno_2011_115","JODA_Clarno",115,703353.548452,4976507.54491,"NAD83","10N","R010XB022OR","1994",NA,"2011",1342,715,NA,NA,0.028712856643201,-0.761431166586064,715,NA,"1994_2011","2","[-233,970]","Low94",NA,"No Burn95","[-570,1.5e+03]","Low11","2.Low94.No Burn95.Low11","(1.19e+03,2.48e+03]","Medium"
"20","JODA_Clarno_2011_116",2011,20,2011,2010,2011,20.041705193,45.37631989,5.376136303,"JODA_Clarno_2011_116","JODA_Clarno",116,704019.400477542,4976790.24506253,"NAD83","10N",587,293,5,0.0340544617181133,"JODA",1,1,0,0,0,0,0,0,0,0,"0",0,2,0,0,0,0,"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",NA,0,0,0,0,0,0,0,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"JODA","Clarno",2011,116,1,0,0.485797621539739,"(20,21]","(5,5.5]","(44,47]","(565,590]","(-0.05,0.05]","JODA_Clarno_2011_116","JODA_Clarno",116,704019.400478,4976790.24506,"NAD83","10N","R010XB022OR","1994",NA,"2011",2379,2193,NA,NA,-0.0707138867189859,0.837186139793714,2193,NA,"1994_2011","2","(1.47e+03,3.05e+03]","High94",NA,"No Burn95","(2.1e+03,5.59e+03]","High11","2.High94.No Burn95.High11","(1.19e+03,2.48e+03]","Medium"
